id,data,bezeroa,hiria,produktua,kategoria,prezioa,unitateak
68,2026-06-23,Elodia Soria-Tejero,Guipúzcoa,Ordenagailu eramangarria,Ordenagailuak,1982.6,5
69,2024-12-16,Herberto Téllez Benavent,Burgos,Switch-a,Sareak,1666.72,5
70,2026-09-19,León Rico Gonzalez,León,Mahaigaineko ordenagailua,Ordenagailuak,613.75,7
71,2025-11-13,Marcos Cabezas Galiano,Córdoba,Teklatua,Periferikoak,326.3,3
72,2025-01-16,Javiera Soriano Manuel,Ceuta,Mahaigaineko ordenagailua,Ordenagailuak,1452.36,8
73,2026-02-07,Rufino Figuerola-Rodríguez,Murcia,Ordenagailu eramangarria,Ordenagailuak,1331.19,5
74,2024-11-15,Ruy Meléndez Malo,Baleares,Txartel grafikoa,Osagaiak,1415.38,7
75,2025-09-24,Isabel Bernat Ariño,Valencia,Monitorea,Periferikoak,1241.32,1
76,2025-03-10,Maristela Almansa-Leon,Valladolid,Ordenagailu eramangarria,Ordenagailuak,968.66,8
77,2025-02-03,Isa Téllez-Bou,Huelva,Webkamera,Periferikoak,687.41,2
78,2025-05-22,Elvira Pérez Arco,Ávila,SSD diskoa,Osagaiak,521.41,2
79,2026-06-17,Nando Sevilla Reyes,Cantabria,Wi-Fi egokigailua,Sareak,1280.96,8
80,2026-04-01,Eliseo Castro,León,Sare-kablea,Sareak,253.3,10
81,2026-02-24,Leoncio Adrián Raya Buendía,Baleares,Txartel grafikoa,Osagaiak,1944.15,3
82,2026-08-05,José Manuel Patricio Llano Ribes,Lugo,Switch-a,Sareak,940.7,3
83,2025-02-10,Liliana Piedad Cerezo Baños,Vizcaya,Sare-kablea,Sareak,701.64,5
84,2025-04-18,Silvio Lázaro Tovar Comas,Murcia,Mahaigaineko ordenagailua,Ordenagailuak,711.42,9
85,2025-08-22,Tomasa Fabregat Haro,Ceuta,Sare-kablea,Sareak,94.4,8
86,2025-07-02,Jose Miguel Arco Cases,Badajoz,Sare-kablea,Sareak,209.67,8
87,2026-03-05,Tomasa Cortes Benavides,Zamora,Mahaigaineko ordenagailua,Ordenagailuak,698.79,7
88,2026-06-07,Fortunata del Torrents,Salamanca,Ordenagailu eramangarria,Ordenagailuak,485.8,5
89,2026-03-23,Ariel Cabrera Salcedo,Tarragona,SSD diskoa,Osagaiak,1855.3,1
90,2026-04-28,Gastón Glauco Rosa Coello,Melilla,Webkamera,Periferikoak,1164.87,3
91,2025-01-29,Tomasa Francisca Hernando Valenciano,Ceuta,Txartel grafikoa,Osagaiak,1311.32,8
92,2026-01-23,Xiomara Maestre Cruz,León,Monitorea,Periferikoak,1208.38,7
93,2025-08-23,Conrado Gregorio Tomas Campillo,Jaén,Monitorea,Periferikoak,1182.37,5
94,2026-09-07,Eli Aguiló Avilés,Girona,Ordenagailu eramangarria,Ordenagailuak,1248.45,4
95,2025-12-21,Mauricio Caballero Ariza,Zamora,Txartel grafikoa,Osagaiak,73.74,6
96,2024-11-28,Fernando Raúl Ribes Echevarría,Barcelona,SSD diskoa,Osagaiak,1092.64,5
97,2025-03-30,Rosenda Marquez Nevado,Lleida,Prozesadorea,Osagaiak,293.96,4
98,2026-08-31,Flavia de Prat,Córdoba,Bideratzailea,Sareak,936.47,5
99,2026-05-17,Asunción Guillen Soto,Salamanca,Wi-Fi egokigailua,Sareak,1879.78,4
100,2025-12-31,Yéssica Matas Real,Barcelona,Ordenagailu eramangarria,Ordenagailuak,1942.4,5
101,2024-12-17,Vicente de Pont,Huesca,Sare-kablea,Sareak,1207.95,3
102,2026-01-15,María Manuela Raya Losa,Tarragona,Wi-Fi egokigailua,Sareak,449.56,8
103,2026-06-10,Olegario Pedrero Palmer,La Coruña,SSD diskoa,Osagaiak,393.15,8
104,2026-01-20,Ainara Amarilis Múgica Hervia,Zamora,Mini PC,Ordenagailuak,425.8,9
105,2025-11-26,Fidel de Acedo,Burgos,RAM memoria,Osagaiak,1111.32,3
106,2026-01-19,Blas Alcolea Palma,Palencia,Mahaigaineko ordenagailua,Ordenagailuak,37.22,5
107,2024-12-25,Lucila Carballo Bartolomé,León,Mahaigaineko ordenagailua,Ordenagailuak,1056.75,2
108,2025-09-26,Amada Pascuala Vázquez Mata,Segovia,Bideratzailea,Sareak,129.61,7
109,2026-02-06,Olivia Salcedo Beltrán,Guadalajara,Switch-a,Sareak,139.16,5
110,2025-06-29,Luisa Emilia Santiago Vega,Badajoz,Teklatua,Periferikoak,1751.83,9
111,2025-08-03,Hilario del Santana,La Rioja,Prozesadorea,Osagaiak,645.54,6
112,2025-06-24,Olegario Sánchez Bautista,Ávila,Teklatua,Periferikoak,889.12,6
113,2025-11-04,Mar Murcia-Carvajal,Huelva,Txartel grafikoa,Osagaiak,1782.92,1
114,2025-12-06,Aránzazu Vera Garcia,Sevilla,Webkamera,Periferikoak,464.13,6
115,2024-12-16,Luciano Gonzalo-Romeu,Pontevedra,Monitorea,Periferikoak,64.23,5
116,2026-07-28,Adelaida Escudero Clemente,Asturias,Sagua,Periferikoak,1522.81,1
117,2026-03-22,Godofredo Rivas,Guipúzcoa,Ordenagailu eramangarria,Ordenagailuak,762.39,6
118,2026-06-30,Cayetano Ayala Bilbao,León,Mini PC,Ordenagailuak,873.62,10
119,2025-07-23,René Vila,Huelva,Sare-kablea,Sareak,232.36,10
120,2025-10-13,Alonso Damián Prats Ballesteros,Castellón,Wi-Fi egokigailua,Sareak,1941.27,3
121,2025-04-23,Abraham Valencia Ros,Barcelona,Webkamera,Periferikoak,1095.9,4
122,2024-11-15,Isaías Alfonso Segura,Guadalajara,Webkamera,Periferikoak,1179.51,7
123,2024-12-17,Fermín Duarte Seguí,Ávila,Webkamera,Periferikoak,1734.13,4
124,2025-11-27,Ani Priego,Valencia,Wi-Fi egokigailua,Sareak,458.42,3
125,2025-10-01,Juan Manuel Viana Ferrera,Huelva,Mini PC,Ordenagailuak,1967.82,3
126,2024-12-08,Conrado Durán-Coronado,Cádiz,Txartel grafikoa,Osagaiak,955.96,10
127,2026-02-03,Milagros Moraleda-Molina,León,Bideratzailea,Sareak,965.56,5
128,2025-11-29,Lilia Benavent Menéndez,León,Teklatua,Periferikoak,121.47,5
129,2026-01-07,Marino Vendrell Planas,Palencia,Mini PC,Ordenagailuak,1959.94,1
130,2026-07-19,Modesta Fabra-Montoya,Málaga,Switch-a,Sareak,1966.7,8
131,2026-05-09,Oriana Blasco Vargas,Alicante,Ordenagailu eramangarria,Ordenagailuak,1454.56,8
132,2025-06-16,Guillermo Hernando Neira Badía,Asturias,SSD diskoa,Osagaiak,198.71,7
133,2025-03-26,Trinidad Brígida Mínguez Bertrán,Huelva,Monitorea,Periferikoak,1986.83,7
134,2025-12-02,Fabián Peñas Moya,Sevilla,Prozesadorea,Osagaiak,1328.85,7
135,2024-10-07,Cipriano Custodio Noguera Torre,Ceuta,Sagua,Periferikoak,322.9,5
136,2025-09-29,Silvia de Navarro,Pontevedra,Mahaigaineko ordenagailua,Ordenagailuak,320.2,3
137,2026-03-04,Hernán Pastor Gámez,Salamanca,SSD diskoa,Osagaiak,1545.95,8
138,2025-10-18,Sandalio Ruben Somoza Ferrera,Soria,Txartel grafikoa,Osagaiak,950.98,5
139,2025-09-26,Candelaria Flores Chacón,Almería,Sare-kablea,Sareak,1795.47,9
140,2026-02-25,Susanita Casanovas,Ávila,Ordenagailu eramangarria,Ordenagailuak,563.57,9
141,2026-05-23,Xavier Girona Sanmartín,Albacete,Txartel grafikoa,Osagaiak,114.5,9
142,2025-03-15,Glauco Gomez Anaya,Badajoz,Monitorea,Periferikoak,1625.18,3
143,2025-04-21,Obdulia Chamorro Somoza,Salamanca,Ordenagailu eramangarria,Ordenagailuak,1860.1,1
144,2025-02-28,Leocadio Álamo Rocha,Vizcaya,Monitorea,Periferikoak,491.38,2
145,2025-03-17,Jesusa Ana Belén Cantero Valero,Santa Cruz de Tenerife,Mini PC,Ordenagailuak,1182.3,3
146,2025-08-03,Feliciana Dalila Riera Exposito,Melilla,Monitorea,Periferikoak,143.67,9
147,2025-07-06,Amada Pombo Perea,Valencia,Ordenagailu eramangarria,Ordenagailuak,736.8,6
148,2026-03-13,Rolando Márquez Cañellas,Huelva,SSD diskoa,Osagaiak,1671.82,3
149,2026-09-09,Melania Esparza Cepeda,Teruel,Sare-kablea,Sareak,80.37,4
150,2026-04-24,Fausto Menéndez Villalba,Murcia,Mahaigaineko ordenagailua,Ordenagailuak,523.4,4
151,2025-06-11,Toribio Mármol Llano,Zaragoza,Monitorea,Periferikoak,899.51,8
152,2025-05-29,Jose Ramón Valencia Pedrero,Zaragoza,Bideratzailea,Sareak,1494.54,2
153,2025-12-07,Leandro Marin Montesinos,Ávila,Wi-Fi egokigailua,Sareak,1358.37,5
154,2025-12-07,Carina Saldaña Ortega,Alicante,Wi-Fi egokigailua,Sareak,1264.55,5
155,2024-11-17,Filomena Vilalta Cuesta,Burgos,Mini PC,Ordenagailuak,1393.56,1
156,2024-11-12,Fidela Piñol Antúnez,Soria,Txartel grafikoa,Osagaiak,1948.47,6
157,2026-04-04,Bernardita Ávila-Pedraza,Guadalajara,Wi-Fi egokigailua,Sareak,516.14,1
158,2025-09-23,Zaira Carranza Juárez,Teruel,Txartel grafikoa,Osagaiak,444.78,5
159,2025-02-17,Teodosio Benavent Sans,Teruel,Sare-kablea,Sareak,184.87,6
160,2026-02-23,Macarena del Marín,Teruel,Sagua,Periferikoak,1630.46,9
161,2024-12-21,Ruy Chamorro,Zamora,Txartel grafikoa,Osagaiak,58.46,9
162,2025-08-31,Belén de Bastida,La Coruña,Webkamera,Periferikoak,1081.52,7
163,2024-12-24,Miguela Benavent Sandoval,Soria,Mini PC,Ordenagailuak,710.16,9
164,2026-04-07,Inocencio Valverde Baquero,Melilla,RAM memoria,Osagaiak,627.21,3
165,2026-08-07,Fulgencio del Bermúdez,Cantabria,Monitorea,Periferikoak,261.8,5
166,2025-09-25,Manu Correa Donoso,Ourense,Ordenagailu eramangarria,Ordenagailuak,1695.3,2
167,2026-08-17,Dulce Galvez-Riera,Madrid,Mini PC,Ordenagailuak,1122.37,5
168,2025-03-21,Emma Santana Beltran,Cáceres,Sare-kablea,Sareak,856.61,8
169,2025-05-30,Faustino Montaña Ojeda,Barcelona,SSD diskoa,Osagaiak,1059.71,2
170,2025-03-19,Eliseo Sancho Huguet,Badajoz,Teklatua,Periferikoak,599.49,10
171,2025-03-24,Santos Morán Milla,Valladolid,Switch-a,Sareak,1025.65,8
172,2026-06-27,Ainoa Bosch Pozuelo,Ciudad,Switch-a,Sareak,1199.45,1
173,2025-04-17,Vera Soledad Sosa Macias,Badajoz,Mahaigaineko ordenagailua,Ordenagailuak,279.33,6
174,2025-06-18,Amaya Ferreras Pareja,Asturias,Sare-kablea,Sareak,1037.57,9
175,2026-05-19,Nieves María Jesús Carrera Castells,La Coruña,Monitorea,Periferikoak,1632.43,9
176,2026-03-29,Marcial Verdú,Málaga,Teklatua,Periferikoak,97.4,3
177,2026-05-03,Jessica Company,Guadalajara,Monitorea,Periferikoak,337.5,10
178,2025-12-01,Saturnina Vergara,Teruel,Monitorea,Periferikoak,977.2,6
179,2026-01-28,Marisela Mena Amor,Córdoba,Sagua,Periferikoak,1482.6,10
180,2025-01-26,Remedios Sol Pinto Coloma,Alicante,Bideratzailea,Sareak,395.2,8
181,2025-07-26,Nuria Frías Reguera,Valencia,Teklatua,Periferikoak,1450.17,9
182,2025-11-07,Lucila Peñas Mir,Lleida,SSD diskoa,Osagaiak,1123.45,5
183,2025-02-11,Emilio del Gomila,Vizcaya,Wi-Fi egokigailua,Sareak,1448.26,8
184,2025-09-09,Rosalinda del Maestre,Ourense,Webkamera,Periferikoak,1839.5,6
185,2025-04-24,Pepe Aníbal Olivares Salamanca,Valencia,Txartel grafikoa,Osagaiak,443.25,9
186,2026-08-06,Bruno Canales-Heras,Almería,Sagua,Periferikoak,1311.29,1
187,2025-07-22,Armida Cervantes Adadia,La Rioja,Mini PC,Ordenagailuak,1919.6,8
188,2026-03-29,Felipe Eric Barranco Borrás,Murcia,Prozesadorea,Osagaiak,1875.22,7
189,2026-08-06,Silvio Puerta Valbuena,Valencia,SSD diskoa,Osagaiak,1800.4,1
190,2025-11-12,Florencio Luís Santos,Barcelona,Webkamera,Periferikoak,563.24,2
191,2025-01-20,Miriam Jimenez Estrada,Valencia,Monitorea,Periferikoak,1624.37,10
192,2025-01-30,Sarita Roma Villalba,Ávila,Txartel grafikoa,Osagaiak,1375.12,3
193,2025-09-07,Abraham del Pla,León,SSD diskoa,Osagaiak,1958.42,5
194,2025-04-02,Nydia Guzman Barrios,Lleida,Mahaigaineko ordenagailua,Ordenagailuak,332.51,9
195,2026-02-09,Gerónimo Marino Giner Gilabert,Lugo,Sagua,Periferikoak,936.95,10
196,2025-07-24,Zaira del Gil,Soria,Teklatua,Periferikoak,1081.57,9
197,2024-11-20,Aurelia Barrio-Vega,Ourense,Sagua,Periferikoak,341.41,9
198,2024-12-17,Plinio Torrijos,Málaga,Sare-kablea,Sareak,1661.7,8
199,2025-10-03,Marcela Barco Sevilla,Toledo,Prozesadorea,Osagaiak,815.32,1
200,2025-11-20,Héctor Ocaña Bartolomé,Asturias,Txartel grafikoa,Osagaiak,69.36,7
201,2026-04-08,Florentina Piñeiro Sanabria,Jaén,Prozesadorea,Osagaiak,1403.84,9
202,2026-01-14,Azahara Escalona Pozo,Toledo,RAM memoria,Osagaiak,1714.0,1
203,2025-08-27,Imelda del Gras,Lleida,Monitorea,Periferikoak,322.35,4
204,2024-10-17,María Luisa Alcázar Hernandez,Asturias,Ordenagailu eramangarria,Ordenagailuak,1221.4,8
205,2025-03-21,Herberto Ródenas Guillén,Valladolid,Ordenagailu eramangarria,Ordenagailuak,291.64,5
206,2026-05-12,Esther Montes-Gálvez,Burgos,RAM memoria,Osagaiak,851.38,5
207,2025-11-04,Vanesa Díez-Roldán,Almería,Mahaigaineko ordenagailua,Ordenagailuak,1933.82,7
208,2026-02-14,Brígida Marín Peñalver,Valladolid,Webkamera,Periferikoak,498.28,5
209,2026-05-05,Lisandro Rey Riera,Jaén,RAM memoria,Osagaiak,527.26,6
210,2026-07-29,Araceli Farré Aznar,Jaén,Mini PC,Ordenagailuak,1243.77,1
211,2025-02-08,Paloma Gaya-Tello,Guipúzcoa,Mahaigaineko ordenagailua,Ordenagailuak,1964.1,4
212,2026-08-27,Raúl Tejero Herrera,La Coruña,RAM memoria,Osagaiak,1135.41,5
213,2025-08-30,Encarnita Jurado Palomares,Lleida,Bideratzailea,Sareak,1649.92,8
214,2026-07-23,Estefanía Riba Arroyo,Valencia,Sagua,Periferikoak,38.33,9
215,2025-04-27,Fidel Grau,Ourense,Switch-a,Sareak,1027.7,6
216,2026-04-04,Paloma Trujillo Serna,Toledo,Monitorea,Periferikoak,351.17,9
217,2025-02-05,Miguela de Zamora,Asturias,Bideratzailea,Sareak,1570.0,7
218,2026-06-01,Anastasio de Agullo,Málaga,Txartel grafikoa,Osagaiak,769.7,10
219,2026-01-18,Abraham Reina Albero,Melilla,Wi-Fi egokigailua,Sareak,1102.36,1
220,2026-05-05,Balduino Bárcena Zamora,Ciudad,Switch-a,Sareak,1274.67,5
221,2025-04-07,Ani Perea Ramis,Ourense,Sagua,Periferikoak,1432.28,5
222,2026-01-14,Arturo Ramirez Pinilla,Navarra,Mahaigaineko ordenagailua,Ordenagailuak,119.81,1
223,2024-11-23,Mireia Muñoz Bustos,Ceuta,RAM memoria,Osagaiak,1850.88,10
224,2025-04-09,Octavio Lozano Aparicio,Guadalajara,Bideratzailea,Sareak,1974.26,10
225,2026-03-27,Áurea Benítez Martínez,Ourense,RAM memoria,Osagaiak,1165.49,9
226,2025-07-01,Ruperto Bermudez Valle,Almería,Teklatua,Periferikoak,900.29,2
227,2025-12-09,Martirio Gisela Morera Andreu,Zamora,Webkamera,Periferikoak,1009.29,6
228,2025-08-05,Nadia Pinto-Boada,Zaragoza,Switch-a,Sareak,1465.9,2
229,2025-01-14,Rafael Porras Moliner,Badajoz,Teklatua,Periferikoak,15.39,8
230,2026-04-02,Blas Bonet Exposito,León,Webkamera,Periferikoak,216.3,2
231,2025-11-02,María Belén Rita Morata Plaza,Girona,Webkamera,Periferikoak,799.99,2
232,2025-11-15,Octavio Pintor Doménech,Cuenca,SSD diskoa,Osagaiak,554.63,3
233,2025-01-24,Humberto Marí-Tomé,Huesca,Mahaigaineko ordenagailua,Ordenagailuak,1938.31,8
234,2025-08-24,Evaristo Agudo Priego,Salamanca,Txartel grafikoa,Osagaiak,1651.42,8
235,2025-08-04,Bernarda Emperatriz Montes Font,Guadalajara,Sagua,Periferikoak,1980.5,6
236,2026-03-14,Maricela Herrera Moreno,Cuenca,Webkamera,Periferikoak,752.14,10
237,2025-11-30,Carolina de Serrano,León,SSD diskoa,Osagaiak,1707.88,2
238,2026-01-28,Maximiliano Mateo Herranz,Sevilla,Switch-a,Sareak,1469.54,7
239,2025-08-17,Julia Marisela Pérez Velázquez,Murcia,Ordenagailu eramangarria,Ordenagailuak,1624.46,9
240,2024-12-12,Nando del Delgado,Ourense,Mini PC,Ordenagailuak,1392.82,7
241,2026-08-29,Ascensión Alarcón Cabello,Ceuta,Sagua,Periferikoak,917.47,7
242,2026-04-10,Nuria Vall-Contreras,Albacete,Sare-kablea,Sareak,219.37,7
243,2024-12-17,Félix Mesa Novoa,Zamora,Ordenagailu eramangarria,Ordenagailuak,1072.61,6
244,2024-12-04,Esther Bautista Marín,Zaragoza,Bideratzailea,Sareak,51.43,2
245,2026-08-03,Juan de Cuesta,Navarra,Txartel grafikoa,Osagaiak,1967.59,4
246,2025-12-27,Miguel Rosell Priego,Valencia,Switch-a,Sareak,925.75,7
247,2024-09-27,Cristian Lopez,Ourense,Bideratzailea,Sareak,1642.68,3
248,2025-05-19,Aurora Jáuregui Tovar,Pontevedra,Webkamera,Periferikoak,1256.5,10
249,2025-06-04,María Pilar Duque Martorell,Soria,Ordenagailu eramangarria,Ordenagailuak,646.15,4
250,2024-12-18,Nélida Cid Vicente,La Rioja,Sagua,Periferikoak,1182.49,7
251,2025-09-14,Nélida de Diaz,Girona,RAM memoria,Osagaiak,388.4,8
252,2026-06-17,Jose Carlos Cerezo Ferrero,Navarra,Mini PC,Ordenagailuak,1342.63,7
253,2025-07-24,Laura Diego Blanch,Zamora,Switch-a,Sareak,603.4,5
254,2025-10-21,Rosario Sebastián Valbuena,Ourense,Prozesadorea,Osagaiak,553.99,9
255,2025-10-24,Ricardo Sainz Gil,Badajoz,Sagua,Periferikoak,614.4,8
256,2025-06-05,Isidoro Carpio Gálvez,Zaragoza,Monitorea,Periferikoak,1768.9,10
257,2025-01-23,Ruben Gabaldón Gabaldón,Ourense,Wi-Fi egokigailua,Sareak,1095.35,10
258,2025-05-18,Espiridión Luciano Lastra Vilar,Barcelona,Txartel grafikoa,Osagaiak,1886.7,5
259,2026-02-18,Edelmiro Coll Montserrat,Valladolid,Txartel grafikoa,Osagaiak,1007.18,10
260,2025-12-26,Jennifer Benet Buendía,Málaga,Monitorea,Periferikoak,1427.47,8
261,2025-05-20,Toño Buendía Sedano,Asturias,Sare-kablea,Sareak,451.54,4
262,2025-04-08,Florentino Leocadio Castrillo Toro,Soria,Bideratzailea,Sareak,99.12,8
263,2024-12-23,Isidro Sastre Abascal,Cantabria,Mini PC,Ordenagailuak,1867.16,5
264,2026-06-24,Arturo Palomo-Ibáñez,Huesca,RAM memoria,Osagaiak,111.5,5
265,2025-08-03,Pastor Bustamante Abella,Lugo,Prozesadorea,Osagaiak,276.75,4
266,2024-09-30,Salomé Carreño Roca,Lugo,Bideratzailea,Sareak,473.49,2
267,2024-12-08,Vera Martínez Cerro,Vizcaya,Ordenagailu eramangarria,Ordenagailuak,1318.86,3
268,2025-10-16,Marcos Córdoba Sacristán,Toledo,Ordenagailu eramangarria,Ordenagailuak,1291.95,3
269,2025-12-17,Teodora Gaya Bolaños,Barcelona,Bideratzailea,Sareak,1212.93,7
270,2026-08-28,Rosa María Chaves Huguet,Segovia,Teklatua,Periferikoak,513.7,10
271,2026-04-15,Teobaldo Mata Fuertes,Valencia,Webkamera,Periferikoak,610.82,1
272,2025-09-20,Dionisio Valero Belda,Huesca,SSD diskoa,Osagaiak,275.49,10
273,2025-06-17,Rico Sotelo Beltran,Palencia,Bideratzailea,Sareak,33.33,4
274,2026-07-29,Lilia Macías Vallejo,Las Palmas,Mini PC,Ordenagailuak,828.1,9
275,2025-04-14,Aníbal José Mari Frutos Cortés,La Coruña,Prozesadorea,Osagaiak,640.89,7
276,2024-11-05,Óscar Rovira Carmona,Salamanca,Prozesadorea,Osagaiak,638.85,3
277,2024-10-03,Pascual Alberdi Céspedes,Huelva,Mini PC,Ordenagailuak,1064.92,5
278,2025-06-22,Quique Carranza-Andreu,Zaragoza,Txartel grafikoa,Osagaiak,562.67,2
279,2026-02-25,Maxi Benítez-Valderrama,Málaga,Monitorea,Periferikoak,118.63,10
280,2025-06-19,Rolando Calderon-Carlos,Valencia,Prozesadorea,Osagaiak,95.1,4
281,2025-09-03,Águeda Conesa Escamilla,Navarra,Mini PC,Ordenagailuak,1521.83,7
